original_title,popularity,vote_average,vote_count,Comedy,TV Movie,Family,Science Fiction,Drama,Romance,Action,War,Mystery,Music,Adventure,Crime,Horror,Animation,History,Fantasy,Western,Thriller,Running time,Budget,Box Office,Actors Box Office %,Director Box Office %,Earnings,Oscar and Golden Globes nominations,Oscar and Golden Globes awards,IMDb score,ROI,successo
Young Frankenstein,36.866,7.9,3034,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,2800000,31000000,1.0,0.8571,28200000,0,0,8.0,10.071428571428571,1
Little Women,68.681,7.883,6056,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,115,15000000,5000000,0.5714,0.0,-10000000,3,0,7.3,-0.6666666666666666,0
Kill Bill: Vol. 2,38.148,7.879,13460,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,137,30000000,152000000,0.5,1.0,122000000,2,0,8.0,4.066666666666666,1
Coraline,140.4,7.87,7524,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,100,60000000,124000000,1.0,0.5,64000000,0,0,7.7,1.0666666666666667,1
Her,173.731,7.857,13910,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,126,23000000,48000000,1.0,0.5,25000000,5,1,8.0,1.0869565217391304,1
A Beautiful Mind,99.537,7.857,9916,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,135,58000000,317000000,0.5777,0.615,259000000,8,4,8.2,4.4655172413793105,1
Stand by Me,416.679,7.855,5647,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,89,8000000,52000000,1.0,0.4545,44000000,1,0,8.1,5.5,1
The Theory of Everything,33.542,7.854,10348,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,123,15000000,123000000,0.5,1.0,108000000,10,5,7.7,7.2,1
Dances with Wolves,50.798,7.849,4059,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,236,22000000,413000000,0.61,0.6667000000000001,391000000,14,7,8.0,17.772727272727273,1
Warrior,58.871,7.847,4375,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,140,25000000,23000000,0.61,0.4,-2000000,1,0,8.2,-0.08,0
Indiana Jones and the Last Crusade,51.446,7.847,9789,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,127,48000000,474000000,0.8332999999999999,0.846,426000000,3,1,8.3,8.875,1
The Big Lebowski,41.634,7.844,10845,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,117,15000000,46000000,0.8222,0.5,31000000,2,0,8.2,2.066666666666667,1
Feast,19.432,7.8,829,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,95,3200000,1000000,0.16670000000000001,0.0,-2200000,0,0,6.4,-0.6875,0
Rosemary's Baby,24.279,7.829,3749,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,136,2300000,33000000,0.6667000000000001,0.3333,30700000,5,1,8.0,13.347826086956522,1
The Bridge on the River Kwai,30.549,7.827,2004,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,161,3000000,44800000,1.0,0.75,41800000,8,7,8.2,13.933333333333334,1
It Happened One Night,15.873,7.826,1183,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,65,325000,3500000,1.0,0.6,3175000,5,5,8.2,9.76923076923077,1
How to Train Your Dragon,64.955,7.825,12608,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,98,165000000,495000000,0.6667000000000001,1.0,330000000,3,0,8.2,2.0,1
Finding Nemo,127.325,7.823,18751,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,100,94000000,940000000,0.3095,0.6667000000000001,846000000,5,1,8.2,9.0,1
Ratatouille,125.038,7.82,16503,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,111,150000000,624000000,1.0,0.6,474000000,6,2,8.0,3.16,1
Before Sunset,22.535,7.821,3240,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,80,2700000,16000000,1.0,0.5,13300000,2,0,8.0,4.925925925925926,1
Network,30.288,7.819,1639,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,121,3800000,24000000,0.5714,0.6,20200000,10,4,8.1,5.315789473684211,1
Mulholland Drive,87.667,7.818,5974,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,147,15000000,21000000,0.5555,0.6,6000000,2,1,8.0,0.4,0
